الجهاز,النقرات,عدد الظهور,نسبة النقر إلى الظهور,موضع
الهاتف الجوال,78,3077,2.53%,4.8
سطح المكتب,13,489,2.66%,7.82
جهاز لوحي,0,10,0%,6.3
